frame,r_dist,rho_dist,theta
0,1.617217716700721,1.5531459400865537,133.04367042854318
1,1.7228264784142158,1.635948344520276,136.1668379948099
2,1.6851311632534707,1.6516466450498626,142.4296246133211
3,1.6431507475986584,1.5756007881789935,148.73527649461286
4,1.7033750727544115,1.6105665852561626,129.41520684696033
5,1.6758982096087318,1.6616998217921362,134.14564287977342
6,1.7425061603333096,1.7253339051933818,122.98727944015165
7,1.7722461972082357,1.732214531887828,127.30228475746154
8,1.7376111955650868,1.6822222702915914,121.23415062819836
9,1.7158529115654078,1.640735973992815,120.40185805543614
